X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-19.801980	-19.801980	0.000000	-1.000000
-19.801980	-19.405941	0.000000	-1.000000
-19.801980	-19.009901	0.000000	-1.000000
-19.801980	-18.613861	0.000000	-1.000000
-19.801980	-18.217822	0.000000	-1.000000
-19.801980	-17.821782	0.000000	-1.000000
-19.801980	-17.425743	0.000000	-1.000000
-19.801980	-17.029703	0.000000	-1.000000
-19.801980	-16.633663	0.000000	-1.000000
-19.801980	-16.237624	0.000000	-1.000000
-19.801980	-15.841584	0.000000	-1.000000
-19.801980	-15.445545	0.000000	-1.000000
-19.801980	-15.049505	0.000000	-1.000000
-19.801980	-14.653465	0.000000	-1.000000
-19.801980	-14.257426	0.000000	-1.000000
-19.801980	-13.861386	0.000000	-1.000000
-19.801980	-13.465347	0.000000	-1.000000
-19.801980	-13.069307	0.000000	-1.000000
-19.801980	-12.673267	0.000000	-1.000000
-19.801980	-12.277228	0.000000	-1.000000
-19.801980	-11.881188	0.000000	-1.000000
-19.801980	-11.485149	0.000000	-1.000000
-19.801980	-11.089109	0.000000	-1.000000
-19.801980	-10.693069	0.000000	-1.000000
-19.801980	-10.297030	0.000000	-1.000000
-19.801980	-9.900990	0.000000	-1.000000
-19.801980	-9.504950	0.000000	-1.000000
-19.801980	-9.108911	0.000000	-1.000000
-19.801980	-8.712871	0.000000	-1.000000
-19.801980	-8.316832	0.000000	-1.000000
-19.801980	-7.920792	0.000000	-1.000000
-19.801980	-7.524752	0.000000	-1.000000
-19.801980	-7.128713	0.000000	-1.000000
-19.801980	-6.732673	0.000000	-1.000000
-19.801980	-6.336634	0.000000	-1.000000
-19.801980	-5.940594	0.000000	-1.000000
-19.801980	-5.544554	0.000000	-1.000000
-19.801980	-5.148515	0.000000	-1.000000
-19.801980	-4.752475	0.166411	-0.833589
-19.801980	-4.356436	0.405627	-0.594373
-19.801980	-3.960396	0.561637	-0.438363
-19.801980	-3.564356	0.728049	-0.271951
-19.801980	-3.168317	0.946463	-0.053537
-19.801980	-2.772277	0.852857	-0.147143
-19.801980	-2.376238	0.925662	-0.074338
-19.801980	-1.980198	0.998467	-0.001533
-19.801980	-1.584158	0.956864	-0.043136
-19.801980	-1.188119	1.029669	0.029669
-19.801980	-0.792079	1.102473	0.102473
-19.801980	-0.396040	0.884059	-0.115941
-19.801980	0.000000	1.060871	0.060871
-19.801980	0.396040	0.998467	-0.001533
-19.801980	0.792079	1.102473	0.102473
-19.801980	1.188119	1.102473	0.102473
-19.801980	1.584158	0.946463	-0.053537
-19.801980	1.980198	1.029669	0.029669
-19.801980	2.376238	0.956864	-0.043136
-19.801980	2.772277	0.769651	-0.230349
-19.801980	3.168317	0.884059	-0.115941
-19.801980	3.564356	0.634442	-0.365558
-19.801980	3.960396	0.426428	-0.573572
-19.801980	4.356436	0.124808	-0.875192
-19.801980	4.752475	0.000000	-1.000000
-19.801980	5.148515	0.000000	-1.000000
-19.801980	5.544554	0.000000	-1.000000
-19.801980	5.940594	0.000000	-1.000000
-19.801980	6.336634	0.000000	-1.000000
-19.801980	6.732673	0.000000	-1.000000
-19.801980	7.128713	0.000000	-1.000000
-19.801980	7.524752	0.000000	-1.000000
-19.801980	7.920792	0.000000	-1.000000
-19.801980	8.316832	0.000000	-1.000000
-19.801980	8.712871	0.000000	-1.000000
-19.801980	9.108911	0.000000	-1.000000
-19.801980	9.504950	0.000000	-1.000000
-19.801980	9.900990	0.000000	-1.000000
-19.801980	10.297030	0.000000	-1.000000
-19.801980	10.693069	0.000000	-1.000000
-19.801980	11.089109	0.000000	-1.000000
-19.801980	11.485149	0.000000	-1.000000
-19.801980	11.881188	0.000000	-1.000000
-19.801980	12.277228	0.000000	-1.000000
-19.801980	12.673267	0.000000	-1.000000
-19.801980	13.069307	0.000000	-1.000000
-19.801980	13.465347	0.000000	-1.000000
-19.801980	13.861386	0.000000	-1.000000
-19.801980	14.257426	0.000000	-1.000000
-19.801980	14.653465	0.000000	-1.000000
-19.801980	15.049505	0.000000	-1.000000
-19.801980	15.445545	0.000000	-1.000000
-19.801980	15.841584	0.000000	-1.000000
-19.801980	16.237624	0.000000	-1.000000
-19.801980	16.633663	0.000000	-1.000000
-19.801980	17.029703	0.000000	-1.000000
-19.801980	17.425743	0.000000	-1.000000
-19.801980	17.821782	0.000000	-1.000000
-19.801980	18.217822	0.000000	-1.000000
-19.801980	18.613861	0.000000	-1.000000
-19.801980	19.009901	0.000000	-1.000000
-19.801980	19.405941	0.000000	-1.000000
-19.801980	19.801980	0.000000	-1.000000
-19.405941	-19.801980	0.000000	-1.000000
-19.405941	-19.405941	0.000000	-1.000000
-19.405941	-19.009901	0.000000	-1.000000
-19.405941	-18.613861	0.000000	-1.000000
-19.405941	-18.217822	0.000000	-1.000000
-19.405941	-17.821782	0.000000	-1.000000
-19.405941	-17.425743	0.000000	-1.000000
-19.405941	-17.029703	0.000000	-1.000000
-19.405941	-16.633663	0.000000	-1.000000
-19.405941	-16.237624	0.000000	-1.000000
-19.405941	-15.841584	0.000000	-1.000000
-19.405941	-15.445545	0.000000	-1.000000
-19.405941	-15.049505	0.000000	-1.000000
-19.405941	-14.653465	0.000000	-1.000000
-19.405941	-14.257426	0.000000	-1.000000
-19.405941	-13.861386	0.000000	-1.000000
-19.405941	-13.465347	0.000000	-1.000000
-19.405941	-13.069307	0.000000	-1.000000
-19.405941	-12.673267	0.000000	-1.000000
-19.405941	-12.277228	0.000000	-1.000000
-19.405941	-11.881188	0.000000	-1.000000
-19.405941	-11.485149	0.000000	-1.000000
-19.405941	-11.089109	0.000000	-1.000000
-19.405941	-10.693069	0.000000	-1.000000
-19.405941	-10.297030	0.000000	-1.000000
-19.405941	-9.900990	0.000000	-1.000000
-19.405941	-9.504950	0.000000	-1.000000
-19.405941	-9.108911	0.000000	-1.000000
-19.405941	-8.712871	0.000000	-1.000000
-19.405941	-8.316832	0.000000	-1.000000
-19.405941	-7.920792	0.000000	-1.000000
-19.405941	-7.524752	0.000000	-1.000000
-19.405941	-7.128713	0.000000	-1.000000
-19.405941	-6.732673	0.000000	-1.000000
-19.405941	-6.336634	0.104007	-0.895993
-19.405941	-5.940594	0.332822	-0.667178
-19.405941	-5.544554	0.572038	-0.427962
-19.405941	-5.148515	0.780052	-0.219948
-19.405941	-4.752475	0.956864	-0.043136
-19.405941	-4.356436	1.050470	0.050470
-19.405941	-3.960396	1.029669	0.029669
-19.405941	-3.564356	1.019268	0.019268
-19.405941	-3.168317	0.863258	-0.136742
-19.405941	-2.772277	0.873658	-0.126342
-19.405941	-2.376238	1.050470	0.050470
-19.405941	-1.980198	1.029669	0.029669
-19.405941	-1.584158	0.967264	-0.032736
-19.405941	-1.188119	0.946463	-0.053537
-19.405941	-0.792079	0.915261	-0.084739
-19.405941	-0.396040	0.936062	-0.063938
-19.405941	0.000000	0.977665	-0.022335
-19.405941	0.396040	0.998467	-0.001533
-19.405941	0.792079	0.873658	-0.126342
-19.405941	1.188119	1.081672	0.081672
-19.405941	1.584158	0.873658	-0.126342
-19.405941	1.980198	0.925662	-0.074338
-19.405941	2.376238	0.832055	-0.167945
-19.405941	2.772277	0.873658	-0.126342
-19.405941	3.168317	0.956864	-0.043136
-19.405941	3.564356	1.029669	0.029669
-19.405941	3.960396	0.946463	-0.053537
-19.405941	4.356436	0.915261	-0.084739
-19.405941	4.752475	1.071271	0.071271
-19.405941	5.148515	0.582439	-0.417561
-19.405941	5.544554	0.374425	-0.625575
-19.405941	5.940594	0.031202	-0.968798
-19.405941	6.336634	0.000000	-1.000000
-19.405941	6.732673	0.000000	-1.000000
-19.405941	7.128713	0.000000	-1.000000
-19.405941	7.524752	0.000000	-1.000000
-19.405941	7.920792	0.000000	-1.000000
-19.405941	8.316832	0.000000	-1.000000
-19.405941	8.712871	0.000000	-1.000000
-19.405941	9.108911	0.000000	-1.000000
-19.405941	9.504950	0.000000	-1.000000
-19.405941	9.900990	0.000000	-1.000000
-19.405941	10.297030	0.000000	-1.000000
-19.405941	10.693069	0.000000	-1.000000
-19.405941	11.089109	0.000000	-1.000000
-19.405941	11.485149	0.000000	-1.000000
-19.405941	11.881188	0.000000	-1.000000
-19.405941	12.277228	0.000000	-1.000000
-19.405941	12.673267	0.000000	-1.000000
-19.405941	13.069307	0.000000	-1.000000
-19.405941	13.465347	0.000000	-1.000000
-19.405941	13.861386	0.000000	-1.000000
-19.405941	14.257426	0.000000	-1.000000
-19.405941	14.653465	0.000000	-1.000000
-19.405941	15.049505	0.000000	-1.000000
-19.405941	15.445545	0.000000	-1.000000
-19.405941	15.841584	0.000000	-1.000000
-19.405941	16.237624	0.000000	-1.000000
-19.405941	16.633663	0.000000	-1.000000
-19.405941	17.029703	0.000000	-1.000000
-19.405941	17.425743	0.000000	-1.000000
-19.405941	17.821782	0.000000	-1.000000
-19.405941	18.217822	0.000000	-1.000000
-19.405941	18.613861	0.000000	-1.000000
-19.405941	19.009901	0.000000	-1.000000
-19.405941	19.405941	0.000000	-1.000000
-19.405941	19.801980	0.000000	-1.000000
-19.009901	-19.801980	0.000000	-1.000000
-19.009901	-19.405941	0.000000	-1.000000
-19.009901	-19.009901	0.000000	-1.000000
-19.009901	-18.613861	0.000000	-1.000000
-19.009901	-18.217822	0.000000	-1.000000
-19.009901	-17.821782	0.000000	-1.000000
-19.009901	-17.425743	0.000000	-1.000000
-19.009901	-17.029703	0.000000	-1.000000
-19.009901	-16.633663	0.000000	-1.000000
-19.009901	-16.237624	0.000000	-1.000000
-19.009901	-15.841584	0.000000	-1.000000
-19.009901	-15.445545	0.000000	-1.000000
-19.009901	-15.049505	0.000000	-1.000000
-19.009901	-14.653465	0.000000	-1.000000
-19.009901	-14.257426	0.000000	-1.000000
-19.009901	-13.861386	0.000000	-1.000000
-19.009901	-13.465347	0.000000	-1.000000
-19.009901	-13.069307	0.000000	-1.000000
-19.009901	-12.673267	0.000000	-1.000000
-19.009901	-12.277228	0.000000	-1.000000
-19.009901	-11.881188	0.000000	-1.000000
-19.009901	-11.485149	0.000000	-1.000000
-19.009901	-11.089109	0.000000	-1.000000
-19.009901	-10.693069	0.000000	-1.000000
-19.009901	-10.297030	0.000000	-1.000000
-19.009901	-9.900990	0.000000	-1.000000
-19.009901	-9.504950	0.000000	-1.000000
-19.009901	-9.108911	0.000000	-1.000000
-19.009901	-8.712871	0.000000	-1.000000
-19.009901	-8.316832	0.000000	-1.000000
-19.009901	-7.920792	0.000000	-1.000000
-19.009901	-7.524752	0.072805	-0.927195
-19.009901	-7.128713	0.343223	-0.656777
-19.009901	-6.732673	0.769651	-0.230349
-19.009901	-6.336634	1.029669	0.029669
-19.009901	-5.940594	1.008867	0.008867
-19.009901	-5.544554	1.008867	0.008867
-19.009901	-5.148515	1.050470	0.050470
-19.009901	-4.752475	0.811254	-0.188746
-19.009901	-4.356436	1.019268	0.019268
-19.009901	-3.960396	0.956864	-0.043136
-19.009901	-3.564356	0.873658	-0.126342
-19.009901	-3.168317	0.915261	-0.084739
-19.009901	-2.772277	0.946463	-0.053537
-19.009901	-2.376238	0.842456	-0.157544
-19.009901	-1.980198	1.040069	0.040069
-19.009901	-1.584158	0.956864	-0.043136
-19.009901	-1.188119	0.967264	-0.032736
-19.009901	-0.792079	1.019268	0.019268
-19.009901	-0.396040	1.102473	0.102473
-19.009901	0.000000	0.800853	-0.199147
-19.009901	0.396040	0.967264	-0.032736
-19.009901	0.792079	1.008867	0.008867
-19.009901	1.188119	0.988066	-0.011934
-19.009901	1.584158	1.040069	0.040069
-19.009901	1.980198	0.863258	-0.136742
-19.009901	2.376238	0.977665	-0.022335
-19.009901	2.772277	0.977665	-0.022335
-19.009901	3.168317	0.936062	-0.063938
-19.009901	3.564356	0.832055	-0.167945
-19.009901	3.960396	0.988066	-0.011934
-19.009901	4.356436	0.925662	-0.074338
-19.009901	4.752475	1.216881	0.216881
-19.009901	5.148515	0.884059	-0.115941
-19.009901	5.544554	0.769651	-0.230349
-19.009901	5.940594	1.008867	0.008867
-19.009901	6.336634	0.748850	-0.251150
-19.009901	6.732673	0.239216	-0.760784
-19.009901	7.128713	0.083206	-0.916794
-19.009901	7.524752	0.000000	-1.000000
-19.009901	7.920792	0.000000	-1.000000
-19.009901	8.316832	0.000000	-1.000000
-19.009901	8.712871	0.000000	-1.000000
-19.009901	9.108911	0.000000	-1.000000
-19.009901	9.504950	0.000000	-1.000000
-19.009901	9.900990	0.000000	-1.000000
-19.009901	10.297030	0.000000	-1.000000
-19.009901	10.693069	0.000000	-1.000000
-19.009901	11.089109	0.000000	-1.000000
-19.009901	11.485149	0.000000	-1.000000
-19.009901	11.881188	0.000000	-1.000000
-19.009901	12.277228	0.000000	-1.000000
-19.009901	12.673267	0.000000	-1.000000
-19.009901	13.069307	0.000000	-1.000000
-19.009901	13.465347	0.000000	-1.000000
-19.009901	13.861386	0.000000	-1.000000
-19.009901	14.257426	0.000000	-1.000000
-19.009901	14.653465	0.000000	-1.000000
-19.009901	15.049505	0.000000	-1.000000
-19.009901	15.445545	0.000000	-1.000000
-19.009901	15.841584	0.000000	-1.000000
-19.009901	16.237624	0.000000	-1.000000
-19.009901	16.633663	0.000000	-1.000000
-19.009901	17.029703	0.000000	-1.000000
-19.009901	17.425743	0.000000	-1.000000
-19.009901	17.821782	0.000000	-1.000000
-19.009901	18.217822	0.000000	-1.000000
-19.009901	18.613861	0.000000	-1.000000
-19.009901	19.009901	0.000000	-1.000000
