X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-19.801980	-19.801980	0.000000	-1.000000
-19.801980	-19.405941	0.000000	-1.000000
-19.801980	-19.009901	0.000000	-1.000000
-19.801980	-18.613861	0.000000	-1.000000
-19.801980	-18.217822	0.000000	-1.000000
-19.801980	-17.821782	0.000000	-1.000000
-19.801980	-17.425743	0.000000	-1.000000
-19.801980	-17.029703	0.000000	-1.000000
-19.801980	-16.633663	0.000000	-1.000000
-19.801980	-16.237624	0.000000	-1.000000
-19.801980	-15.841584	0.000000	-1.000000
-19.801980	-15.445545	0.000000	-1.000000
-19.801980	-15.049505	0.000000	-1.000000
-19.801980	-14.653465	0.000000	-1.000000
-19.801980	-14.257426	0.000000	-1.000000
-19.801980	-13.861386	0.000000	-1.000000
-19.801980	-13.465347	0.000000	-1.000000
-19.801980	-13.069307	0.000000	-1.000000
-19.801980	-12.673267	0.000000	-1.000000
-19.801980	-12.277228	0.000000	-1.000000
-19.801980	-11.881188	0.000000	-1.000000
-19.801980	-11.485149	0.000000	-1.000000
-19.801980	-11.089109	0.000000	-1.000000
-19.801980	-10.693069	0.000000	-1.000000
-19.801980	-10.297030	0.000000	-1.000000
-19.801980	-9.900990	0.000000	-1.000000
-19.801980	-9.504950	0.000000	-1.000000
-19.801980	-9.108911	0.000000	-1.000000
-19.801980	-8.712871	0.000000	-1.000000
-19.801980	-8.316832	0.000000	-1.000000
-19.801980	-7.920792	0.000000	-1.000000
-19.801980	-7.524752	0.000000	-1.000000
-19.801980	-7.128713	0.000000	-1.000000
-19.801980	-6.732673	0.000000	-1.000000
-19.801980	-6.336634	0.000000	-1.000000
-19.801980	-5.940594	0.000000	-1.000000
-19.801980	-5.544554	0.000000	-1.000000
-19.801980	-5.148515	0.001985	-0.998015
-19.801980	-4.752475	0.079398	-0.920602
-19.801980	-4.356436	1.464885	0.464885
-19.801980	-3.960396	5.962758	4.962758
-19.801980	-3.564356	7.459402	6.459402
-19.801980	-3.168317	4.456189	3.456189
-19.801980	-2.772277	2.010744	1.010744
-19.801980	-2.376238	0.450581	-0.549419
-19.801980	-1.980198	0.097262	-0.902738
-19.801980	-1.584158	0.184599	-0.815401
-19.801980	-1.188119	0.414852	-0.585148
-19.801980	-0.792079	0.831690	-0.168310
-19.801980	-0.396040	0.926967	-0.073033
-19.801980	0.000000	0.934906	-0.065094
-19.801980	0.396040	0.795961	-0.204039
-19.801980	0.792079	0.641135	-0.358865
-19.801980	1.188119	0.446611	-0.553389
-19.801980	1.584158	0.224298	-0.775702
-19.801980	1.980198	0.057563	-0.942437
-19.801980	2.376238	0.067488	-0.932512
-19.801980	2.772277	0.077413	-0.922587
-19.801980	3.168317	0.063518	-0.936482
-19.801980	3.564356	0.035729	-0.964271
-19.801980	3.960396	0.043669	-0.956331
-19.801980	4.356436	0.075428	-0.924572
-19.801980	4.752475	0.001985	-0.998015
-19.801980	5.148515	0.000000	-1.000000
-19.801980	5.544554	0.000000	-1.000000
-19.801980	5.940594	0.000000	-1.000000
-19.801980	6.336634	0.000000	-1.000000
-19.801980	6.732673	0.000000	-1.000000
-19.801980	7.128713	0.000000	-1.000000
-19.801980	7.524752	0.000000	-1.000000
-19.801980	7.920792	0.000000	-1.000000
-19.801980	8.316832	0.000000	-1.000000
-19.801980	8.712871	0.000000	-1.000000
-19.801980	9.108911	0.000000	-1.000000
-19.801980	9.504950	0.000000	-1.000000
-19.801980	9.900990	0.000000	-1.000000
-19.801980	10.297030	0.000000	-1.000000
-19.801980	10.693069	0.000000	-1.000000
-19.801980	11.089109	0.000000	-1.000000
-19.801980	11.485149	0.000000	-1.000000
-19.801980	11.881188	0.000000	-1.000000
-19.801980	12.277228	0.000000	-1.000000
-19.801980	12.673267	0.000000	-1.000000
-19.801980	13.069307	0.000000	-1.000000
-19.801980	13.465347	0.000000	-1.000000
-19.801980	13.861386	0.000000	-1.000000
-19.801980	14.257426	0.000000	-1.000000
-19.801980	14.653465	0.000000	-1.000000
-19.801980	15.049505	0.000000	-1.000000
-19.801980	15.445545	0.000000	-1.000000
-19.801980	15.841584	0.000000	-1.000000
-19.801980	16.237624	0.000000	-1.000000
-19.801980	16.633663	0.000000	-1.000000
-19.801980	17.029703	0.000000	-1.000000
-19.801980	17.425743	0.000000	-1.000000
-19.801980	17.821782	0.000000	-1.000000
-19.801980	18.217822	0.000000	-1.000000
-19.801980	18.613861	0.000000	-1.000000
-19.801980	19.009901	0.000000	-1.000000
-19.801980	19.405941	0.000000	-1.000000
-19.801980	19.801980	0.000000	-1.000000
-19.405941	-19.801980	0.000000	-1.000000
-19.405941	-19.405941	0.000000	-1.000000
-19.405941	-19.009901	0.000000	-1.000000
-19.405941	-18.613861	0.000000	-1.000000
-19.405941	-18.217822	0.000000	-1.000000
-19.405941	-17.821782	0.000000	-1.000000
-19.405941	-17.425743	0.000000	-1.000000
-19.405941	-17.029703	0.000000	-1.000000
-19.405941	-16.633663	0.000000	-1.000000
-19.405941	-16.237624	0.000000	-1.000000
-19.405941	-15.841584	0.000000	-1.000000
-19.405941	-15.445545	0.000000	-1.000000
-19.405941	-15.049505	0.000000	-1.000000
-19.405941	-14.653465	0.000000	-1.000000
-19.405941	-14.257426	0.000000	-1.000000
-19.405941	-13.861386	0.000000	-1.000000
-19.405941	-13.465347	0.000000	-1.000000
-19.405941	-13.069307	0.000000	-1.000000
-19.405941	-12.673267	0.000000	-1.000000
-19.405941	-12.277228	0.000000	-1.000000
-19.405941	-11.881188	0.000000	-1.000000
-19.405941	-11.485149	0.000000	-1.000000
-19.405941	-11.089109	0.000000	-1.000000
-19.405941	-10.693069	0.000000	-1.000000
-19.405941	-10.297030	0.000000	-1.000000
-19.405941	-9.900990	0.000000	-1.000000
-19.405941	-9.504950	0.000000	-1.000000
-19.405941	-9.108911	0.000000	-1.000000
-19.405941	-8.712871	0.000000	-1.000000
-19.405941	-8.316832	0.000000	-1.000000
-19.405941	-7.920792	0.000000	-1.000000
-19.405941	-7.524752	0.000000	-1.000000
-19.405941	-7.128713	0.000000	-1.000000
-19.405941	-6.732673	0.000000	-1.000000
-19.405941	-6.336634	0.131006	-0.868994
-19.405941	-5.940594	0.263997	-0.736003
-19.405941	-5.544554	0.254072	-0.745928
-19.405941	-5.148515	0.273922	-0.726078
-19.405941	-4.752475	0.561738	-0.438262
-19.405941	-4.356436	2.495069	1.495069
-19.405941	-3.960396	4.241815	3.241815
-19.405941	-3.564356	2.979394	1.979394
-19.405941	-3.168317	1.351744	0.351744
-19.405941	-2.772277	0.629226	-0.370774
-19.405941	-2.376238	0.373169	-0.626831
-19.405941	-1.980198	0.464476	-0.535524
-19.405941	-1.584158	1.054003	0.054003
-19.405941	-1.188119	1.169129	0.169129
-19.405941	-0.792079	1.175084	0.175084
-19.405941	-0.396040	1.111566	0.111566
-19.405941	0.000000	1.002394	0.002394
-19.405941	0.396040	1.103626	0.103626
-19.405941	0.792079	0.748322	-0.251678
-19.405941	1.188119	0.410882	-0.589118
-19.405941	1.584158	0.200479	-0.799521
-19.405941	1.980198	0.132991	-0.867009
-19.405941	2.376238	0.103217	-0.896783
-19.405941	2.772277	0.035729	-0.964271
-19.405941	3.168317	0.019849	-0.980151
-19.405941	3.564356	0.069473	-0.930527
-19.405941	3.960396	0.132991	-0.867009
-19.405941	4.356436	0.186584	-0.813416
-19.405941	4.752475	0.448596	-0.551404
-19.405941	5.148515	0.559753	-0.440247
-19.405941	5.544554	0.315605	-0.684395
-19.405941	5.940594	0.061533	-0.938467
-19.405941	6.336634	0.000000	-1.000000
-19.405941	6.732673	0.000000	-1.000000
-19.405941	7.128713	0.000000	-1.000000
-19.405941	7.524752	0.000000	-1.000000
-19.405941	7.920792	0.000000	-1.000000
-19.405941	8.316832	0.000000	-1.000000
-19.405941	8.712871	0.000000	-1.000000
-19.405941	9.108911	0.000000	-1.000000
-19.405941	9.504950	0.000000	-1.000000
-19.405941	9.900990	0.000000	-1.000000
-19.405941	10.297030	0.000000	-1.000000
-19.405941	10.693069	0.000000	-1.000000
-19.405941	11.089109	0.000000	-1.000000
-19.405941	11.485149	0.000000	-1.000000
-19.405941	11.881188	0.000000	-1.000000
-19.405941	12.277228	0.000000	-1.000000
-19.405941	12.673267	0.000000	-1.000000
-19.405941	13.069307	0.000000	-1.000000
-19.405941	13.465347	0.000000	-1.000000
-19.405941	13.861386	0.000000	-1.000000
-19.405941	14.257426	0.000000	-1.000000
-19.405941	14.653465	0.000000	-1.000000
-19.405941	15.049505	0.000000	-1.000000
-19.405941	15.445545	0.000000	-1.000000
-19.405941	15.841584	0.000000	-1.000000
-19.405941	16.237624	0.000000	-1.000000
-19.405941	16.633663	0.000000	-1.000000
-19.405941	17.029703	0.000000	-1.000000
-19.405941	17.425743	0.000000	-1.000000
-19.405941	17.821782	0.000000	-1.000000
-19.405941	18.217822	0.000000	-1.000000
-19.405941	18.613861	0.000000	-1.000000
-19.405941	19.009901	0.000000	-1.000000
-19.405941	19.405941	0.000000	-1.000000
-19.405941	19.801980	0.000000	-1.000000
-19.009901	-19.801980	0.000000	-1.000000
-19.009901	-19.405941	0.000000	-1.000000
-19.009901	-19.009901	0.000000	-1.000000
-19.009901	-18.613861	0.000000	-1.000000
-19.009901	-18.217822	0.000000	-1.000000
-19.009901	-17.821782	0.000000	-1.000000
-19.009901	-17.425743	0.000000	-1.000000
-19.009901	-17.029703	0.000000	-1.000000
-19.009901	-16.633663	0.000000	-1.000000
-19.009901	-16.237624	0.000000	-1.000000
-19.009901	-15.841584	0.000000	-1.000000
-19.009901	-15.445545	0.000000	-1.000000
-19.009901	-15.049505	0.000000	-1.000000
-19.009901	-14.653465	0.000000	-1.000000
-19.009901	-14.257426	0.000000	-1.000000
-19.009901	-13.861386	0.000000	-1.000000
-19.009901	-13.465347	0.000000	-1.000000
-19.009901	-13.069307	0.000000	-1.000000
-19.009901	-12.673267	0.000000	-1.000000
-19.009901	-12.277228	0.000000	-1.000000
-19.009901	-11.881188	0.000000	-1.000000
-19.009901	-11.485149	0.000000	-1.000000
-19.009901	-11.089109	0.000000	-1.000000
-19.009901	-10.693069	0.000000	-1.000000
-19.009901	-10.297030	0.000000	-1.000000
-19.009901	-9.900990	0.000000	-1.000000
-19.009901	-9.504950	0.000000	-1.000000
-19.009901	-9.108911	0.000000	-1.000000
-19.009901	-8.712871	0.000000	-1.000000
-19.009901	-8.316832	0.000000	-1.000000
-19.009901	-7.920792	0.000000	-1.000000
-19.009901	-7.524752	0.254072	-0.745928
-19.009901	-7.128713	1.516494	0.516494
-19.009901	-6.732673	1.716972	0.716972
-19.009901	-6.336634	1.266391	0.266391
-19.009901	-5.940594	0.442641	-0.557359
-19.009901	-5.544554	0.222313	-0.777687
-19.009901	-5.148515	0.172690	-0.827310
-19.009901	-4.752475	0.335455	-0.664545
-19.009901	-4.356436	0.432717	-0.567283
-19.009901	-3.960396	0.222313	-0.777687
-19.009901	-3.564356	0.144901	-0.855099
-19.009901	-3.168317	0.160780	-0.839220
-19.009901	-2.772277	0.164750	-0.835250
-19.009901	-2.376238	0.260027	-0.739973
-19.009901	-1.980198	0.797946	-0.202054
-19.009901	-1.584158	1.280286	0.280286
-19.009901	-1.188119	1.224708	0.224708
-19.009901	-0.792079	0.821765	-0.178235
-19.009901	-0.396040	0.619301	-0.380699
-19.009901	0.000000	0.815810	-0.184190
-19.009901	0.396040	0.748322	-0.251678
-19.009901	0.792079	0.659000	-0.341000
-19.009901	1.188119	0.275907	-0.724093
-19.009901	1.584158	0.196509	-0.803491
-19.009901	1.980198	0.377138	-0.622862
-19.009901	2.376238	0.287816	-0.712184
-19.009901	2.772277	0.144901	-0.855099
-19.009901	3.168317	0.101232	-0.898768
-19.009901	3.564356	0.303696	-0.696304
-19.009901	3.960396	0.154825	-0.845175
-19.009901	4.356436	0.103217	-0.896783
-19.009901	4.752475	0.228268	-0.771732
-19.009901	5.148515	0.569678	-0.430322
-19.009901	5.544554	0.420807	-0.579193
-19.009901	5.940594	0.412867	-0.587133
-19.009901	6.336634	0.343394	-0.656606
-19.009901	6.732673	0.158795	-0.841205
-19.009901	7.128713	0.017864	-0.982136
-19.009901	7.524752	0.000000	-1.000000
-19.009901	7.920792	0.000000	-1.000000
-19.009901	8.316832	0.000000	-1.000000
-19.009901	8.712871	0.000000	-1.000000
-19.009901	9.108911	0.000000	-1.000000
-19.009901	9.504950	0.000000	-1.000000
-19.009901	9.900990	0.000000	-1.000000
-19.009901	10.297030	0.000000	-1.000000
-19.009901	10.693069	0.000000	-1.000000
-19.009901	11.089109	0.000000	-1.000000
-19.009901	11.485149	0.000000	-1.000000
-19.009901	11.881188	0.000000	-1.000000
-19.009901	12.277228	0.000000	-1.000000
-19.009901	12.673267	0.000000	-1.000000
-19.009901	13.069307	0.000000	-1.000000
-19.009901	13.465347	0.000000	-1.000000
-19.009901	13.861386	0.000000	-1.000000
-19.009901	14.257426	0.000000	-1.000000
-19.009901	14.653465	0.000000	-1.000000
-19.009901	15.049505	0.000000	-1.000000
-19.009901	15.445545	0.000000	-1.000000
-19.009901	15.841584	0.000000	-1.000000
-19.009901	16.237624	0.000000	-1.000000
-19.009901	16.633663	0.000000	-1.000000
-19.009901	17.029703	0.000000	-1.000000
-19.009901	17.425743	0.000000	-1.000000
-19.009901	17.821782	0.000000	-1.000000
-19.009901	18.217822	0.000000	-1.000000
-19.009901	18.613861	0.000000	-1.000000
-19.009901	19.009901	0.000000	-1.000000
