Condensed/total_particles	Mean Number of Neighbors
0.970000	6.670000
0.985000	5.700000
0.985000	5.480000
0.975000	5.330000
0.985000	5.320000
0.985000	5.360000
0.985000	5.300000
0.990000	5.330000
0.990000	5.320000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.350000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.990000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.390000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.350000
0.995000	5.350000
0.995000	5.370000
0.995000	5.360000
0.995000	5.340000
0.995000	5.350000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.350000
0.995000	5.360000
0.995000	5.370000
0.995000	5.350000
0.995000	5.340000
0.995000	5.350000
0.995000	5.360000
0.995000	5.350000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.350000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.390000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.380000
0.995000	5.390000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.390000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.350000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.350000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.360000
0.995000	5.350000
0.995000	5.360000
0.995000	5.350000
0.995000	5.350000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.350000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.340000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.350000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.390000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.350000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.350000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.350000
0.995000	5.350000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.360000
0.995000	5.380000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.350000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.390000
0.995000	5.390000
0.995000	5.370000
0.995000	5.380000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.350000
0.995000	5.350000
0.995000	5.350000
0.995000	5.350000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.360000
0.995000	5.350000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.350000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.390000
0.995000	5.370000
0.995000	5.340000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.380000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.390000
0.995000	5.380000
0.995000	5.380000
0.995000	5.390000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.390000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.390000
0.995000	5.380000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.350000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.380000
0.995000	5.390000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.380000
0.995000	5.390000
0.995000	5.370000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.350000
0.995000	5.350000
0.995000	5.350000
0.995000	5.370000
0.995000	5.350000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.380000
0.995000	5.370000
0.995000	5.350000
0.995000	5.370000
0.995000	5.370000
0.995000	5.380000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.360000
0.995000	5.390000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.370000
0.995000	5.370000
0.995000	5.360000
0.995000	5.370000
0.995000	5.360000
0.995000	5.350000
0.995000	5.360000
0.995000	5.360000
