Condensed/total_particles	Mean Number of Neighbors
0.995000	8.530000
0.995000	6.870000
0.995000	6.110000
0.975000	5.740000
0.975000	5.550000
0.980000	5.450000
0.980000	5.420000
0.980000	5.360000
0.980000	5.380000
0.980000	5.320000
0.985000	5.330000
0.980000	5.340000
0.980000	5.290000
0.980000	5.270000
0.980000	5.290000
0.985000	5.360000
0.985000	5.350000
0.985000	5.360000
0.985000	5.380000
0.985000	5.360000
0.985000	5.350000
0.985000	5.380000
0.985000	5.380000
0.985000	5.380000
0.985000	5.380000
0.980000	5.380000
0.980000	5.370000
0.980000	5.390000
0.980000	5.390000
0.980000	5.400000
0.980000	5.380000
0.980000	5.380000
0.980000	5.390000
0.980000	5.390000
0.980000	5.400000
0.980000	5.390000
0.980000	5.380000
0.980000	5.380000
0.980000	5.370000
0.980000	5.370000
0.980000	5.360000
0.980000	5.350000
0.980000	5.370000
0.980000	5.380000
0.980000	5.360000
0.975000	5.350000
0.980000	5.370000
0.975000	5.360000
0.975000	5.380000
0.980000	5.390000
0.980000	5.390000
0.980000	5.390000
0.980000	5.390000
0.980000	5.390000
0.980000	5.380000
0.980000	5.400000
0.980000	5.400000
0.980000	5.400000
0.980000	5.410000
0.980000	5.390000
0.980000	5.390000
0.980000	5.390000
0.980000	5.400000
0.980000	5.410000
0.980000	5.410000
0.980000	5.400000
0.990000	5.410000
0.990000	5.400000
0.990000	5.400000
0.990000	5.400000
0.990000	5.410000
0.990000	5.400000
0.990000	5.400000
0.990000	5.390000
0.990000	5.400000
0.990000	5.400000
0.990000	5.390000
0.990000	5.390000
0.990000	5.400000
0.990000	5.410000
0.990000	5.410000
0.990000	5.420000
0.990000	5.400000
0.990000	5.390000
0.990000	5.420000
0.990000	5.420000
0.990000	5.380000
0.990000	5.410000
0.985000	5.430000
0.985000	5.430000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
0.985000	5.460000
