X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-19.801980	-19.801980	0.000000	-1.000000
-19.801980	-19.405941	0.000000	-1.000000
-19.801980	-19.009901	0.000000	-1.000000
-19.801980	-18.613861	0.000000	-1.000000
-19.801980	-18.217822	0.000000	-1.000000
-19.801980	-17.821782	0.000000	-1.000000
-19.801980	-17.425743	0.000000	-1.000000
-19.801980	-17.029703	0.000000	-1.000000
-19.801980	-16.633663	0.000000	-1.000000
-19.801980	-16.237624	0.000000	-1.000000
-19.801980	-15.841584	0.000000	-1.000000
-19.801980	-15.445545	0.000000	-1.000000
-19.801980	-15.049505	0.000000	-1.000000
-19.801980	-14.653465	0.000000	-1.000000
-19.801980	-14.257426	0.000000	-1.000000
-19.801980	-13.861386	0.000000	-1.000000
-19.801980	-13.465347	0.000000	-1.000000
-19.801980	-13.069307	0.000000	-1.000000
-19.801980	-12.673267	0.000000	-1.000000
-19.801980	-12.277228	0.000000	-1.000000
-19.801980	-11.881188	0.000000	-1.000000
-19.801980	-11.485149	0.000000	-1.000000
-19.801980	-11.089109	0.000000	-1.000000
-19.801980	-10.693069	0.000000	-1.000000
-19.801980	-10.297030	0.000000	-1.000000
-19.801980	-9.900990	0.000000	-1.000000
-19.801980	-9.504950	0.000000	-1.000000
-19.801980	-9.108911	0.000000	-1.000000
-19.801980	-8.712871	0.000000	-1.000000
-19.801980	-8.316832	0.000000	-1.000000
-19.801980	-7.920792	0.000000	-1.000000
-19.801980	-7.524752	0.000000	-1.000000
-19.801980	-7.128713	0.000000	-1.000000
-19.801980	-6.732673	0.000000	-1.000000
-19.801980	-6.336634	0.000000	-1.000000
-19.801980	-5.940594	0.000000	-1.000000
-19.801980	-5.544554	0.000000	-1.000000
-19.801980	-5.148515	0.000000	-1.000000
-19.801980	-4.752475	0.004712	-0.995288
-19.801980	-4.356436	0.014497	-0.985503
-19.801980	-3.960396	0.020659	-0.979341
-19.801980	-3.564356	0.028633	-0.971367
-19.801980	-3.168317	0.025733	-0.974267
-19.801980	-2.772277	0.034069	-0.965931
-19.801980	-2.376238	0.033707	-0.966293
-19.801980	-1.980198	0.034794	-0.965206
-19.801980	-1.584158	0.031532	-0.968468
-19.801980	-1.188119	0.029357	-0.970643
-19.801980	-0.792079	0.032619	-0.967381
-19.801980	-0.396040	0.037693	-0.962307
-19.801980	0.000000	0.024283	-0.975717
-19.801980	0.396040	0.043130	-0.956870
-19.801980	0.792079	0.033707	-0.966293
-19.801980	1.188119	0.027183	-0.972817
-19.801980	1.584158	0.032257	-0.967743
-19.801980	1.980198	0.042768	-0.957232
-19.801980	2.376238	0.028633	-0.971367
-19.801980	2.772277	0.028633	-0.971367
-19.801980	3.168317	0.027183	-0.972817
-19.801980	3.564356	0.020296	-0.979704
-19.801980	3.960396	0.014860	-0.985140
-19.801980	4.356436	0.006161	-0.993839
-19.801980	4.752475	0.000362	-0.999638
-19.801980	5.148515	0.000000	-1.000000
-19.801980	5.544554	0.000000	-1.000000
-19.801980	5.940594	0.000000	-1.000000
-19.801980	6.336634	0.000000	-1.000000
-19.801980	6.732673	0.000000	-1.000000
-19.801980	7.128713	0.000000	-1.000000
-19.801980	7.524752	0.000000	-1.000000
-19.801980	7.920792	0.000000	-1.000000
-19.801980	8.316832	0.000000	-1.000000
-19.801980	8.712871	0.000000	-1.000000
-19.801980	9.108911	0.000000	-1.000000
-19.801980	9.504950	0.000000	-1.000000
-19.801980	9.900990	0.000000	-1.000000
-19.801980	10.297030	0.000000	-1.000000
-19.801980	10.693069	0.000000	-1.000000
-19.801980	11.089109	0.000000	-1.000000
-19.801980	11.485149	0.000000	-1.000000
-19.801980	11.881188	0.000000	-1.000000
-19.801980	12.277228	0.000000	-1.000000
-19.801980	12.673267	0.000000	-1.000000
-19.801980	13.069307	0.000000	-1.000000
-19.801980	13.465347	0.000000	-1.000000
-19.801980	13.861386	0.000000	-1.000000
-19.801980	14.257426	0.000000	-1.000000
-19.801980	14.653465	0.000000	-1.000000
-19.801980	15.049505	0.000000	-1.000000
-19.801980	15.445545	0.000000	-1.000000
-19.801980	15.841584	0.000000	-1.000000
-19.801980	16.237624	0.000000	-1.000000
-19.801980	16.633663	0.000000	-1.000000
-19.801980	17.029703	0.000000	-1.000000
-19.801980	17.425743	0.000000	-1.000000
-19.801980	17.821782	0.000000	-1.000000
-19.801980	18.217822	0.000000	-1.000000
-19.801980	18.613861	0.000000	-1.000000
-19.801980	19.009901	0.000000	-1.000000
-19.801980	19.405941	0.000000	-1.000000
-19.801980	19.801980	0.000000	-1.000000
-19.405941	-19.801980	0.000000	-1.000000
-19.405941	-19.405941	0.000000	-1.000000
-19.405941	-19.009901	0.000000	-1.000000
-19.405941	-18.613861	0.000000	-1.000000
-19.405941	-18.217822	0.000000	-1.000000
-19.405941	-17.821782	0.000000	-1.000000
-19.405941	-17.425743	0.000000	-1.000000
-19.405941	-17.029703	0.000000	-1.000000
-19.405941	-16.633663	0.000000	-1.000000
-19.405941	-16.237624	0.000000	-1.000000
-19.405941	-15.841584	0.000000	-1.000000
-19.405941	-15.445545	0.000000	-1.000000
-19.405941	-15.049505	0.000000	-1.000000
-19.405941	-14.653465	0.000000	-1.000000
-19.405941	-14.257426	0.000000	-1.000000
-19.405941	-13.861386	0.000000	-1.000000
-19.405941	-13.465347	0.000000	-1.000000
-19.405941	-13.069307	0.000000	-1.000000
-19.405941	-12.673267	0.000000	-1.000000
-19.405941	-12.277228	0.000000	-1.000000
-19.405941	-11.881188	0.000000	-1.000000
-19.405941	-11.485149	0.000000	-1.000000
-19.405941	-11.089109	0.000000	-1.000000
-19.405941	-10.693069	0.000000	-1.000000
-19.405941	-10.297030	0.000000	-1.000000
-19.405941	-9.900990	0.000000	-1.000000
-19.405941	-9.504950	0.000000	-1.000000
-19.405941	-9.108911	0.000000	-1.000000
-19.405941	-8.712871	0.000000	-1.000000
-19.405941	-8.316832	0.000000	-1.000000
-19.405941	-7.920792	0.000000	-1.000000
-19.405941	-7.524752	0.000000	-1.000000
-19.405941	-7.128713	0.000000	-1.000000
-19.405941	-6.732673	0.000000	-1.000000
-19.405941	-6.336634	0.002175	-0.997825
-19.405941	-5.940594	0.012685	-0.987315
-19.405941	-5.544554	0.025371	-0.974629
-19.405941	-5.148515	0.030445	-0.969555
-19.405941	-4.752475	0.036969	-0.963031
-19.405941	-4.356436	0.031532	-0.968468
-19.405941	-3.960396	0.039506	-0.960494
-19.405941	-3.564356	0.039868	-0.960132
-19.405941	-3.168317	0.034431	-0.965569
-19.405941	-2.772277	0.036969	-0.963031
-19.405941	-2.376238	0.030082	-0.969918
-19.405941	-1.980198	0.035519	-0.964481
-19.405941	-1.584158	0.032257	-0.967743
-19.405941	-1.188119	0.040955	-0.959045
-19.405941	-0.792079	0.035519	-0.964481
-19.405941	-0.396040	0.030445	-0.969555
-19.405941	0.000000	0.038418	-0.961582
-19.405941	0.396040	0.034794	-0.965206
-19.405941	0.792079	0.035519	-0.964481
-19.405941	1.188119	0.038056	-0.961944
-19.405941	1.584158	0.035881	-0.964119
-19.405941	1.980198	0.031532	-0.968468
-19.405941	2.376238	0.030445	-0.969555
-19.405941	2.772277	0.030082	-0.969918
-19.405941	3.168317	0.031170	-0.968830
-19.405941	3.564356	0.034431	-0.965569
-19.405941	3.960396	0.034794	-0.965206
-19.405941	4.356436	0.036606	-0.963394
-19.405941	4.752475	0.035519	-0.964481
-19.405941	5.148515	0.030082	-0.969918
-19.405941	5.544554	0.011236	-0.988764
-19.405941	5.940594	0.002537	-0.997463
-19.405941	6.336634	0.000000	-1.000000
-19.405941	6.732673	0.000000	-1.000000
-19.405941	7.128713	0.000000	-1.000000
-19.405941	7.524752	0.000000	-1.000000
-19.405941	7.920792	0.000000	-1.000000
-19.405941	8.316832	0.000000	-1.000000
-19.405941	8.712871	0.000000	-1.000000
-19.405941	9.108911	0.000000	-1.000000
-19.405941	9.504950	0.000000	-1.000000
-19.405941	9.900990	0.000000	-1.000000
-19.405941	10.297030	0.000000	-1.000000
-19.405941	10.693069	0.000000	-1.000000
-19.405941	11.089109	0.000000	-1.000000
-19.405941	11.485149	0.000000	-1.000000
-19.405941	11.881188	0.000000	-1.000000
-19.405941	12.277228	0.000000	-1.000000
-19.405941	12.673267	0.000000	-1.000000
-19.405941	13.069307	0.000000	-1.000000
-19.405941	13.465347	0.000000	-1.000000
-19.405941	13.861386	0.000000	-1.000000
-19.405941	14.257426	0.000000	-1.000000
-19.405941	14.653465	0.000000	-1.000000
-19.405941	15.049505	0.000000	-1.000000
-19.405941	15.445545	0.000000	-1.000000
-19.405941	15.841584	0.000000	-1.000000
-19.405941	16.237624	0.000000	-1.000000
-19.405941	16.633663	0.000000	-1.000000
-19.405941	17.029703	0.000000	-1.000000
-19.405941	17.425743	0.000000	-1.000000
-19.405941	17.821782	0.000000	-1.000000
-19.405941	18.217822	0.000000	-1.000000
-19.405941	18.613861	0.000000	-1.000000
-19.405941	19.009901	0.000000	-1.000000
-19.405941	19.405941	0.000000	-1.000000
-19.405941	19.801980	0.000000	-1.000000
-19.009901	-19.801980	0.000000	-1.000000
-19.009901	-19.405941	0.000000	-1.000000
-19.009901	-19.009901	0.000000	-1.000000
-19.009901	-18.613861	0.000000	-1.000000
-19.009901	-18.217822	0.000000	-1.000000
-19.009901	-17.821782	0.000000	-1.000000
-19.009901	-17.425743	0.000000	-1.000000
-19.009901	-17.029703	0.000000	-1.000000
-19.009901	-16.633663	0.000000	-1.000000
-19.009901	-16.237624	0.000000	-1.000000
-19.009901	-15.841584	0.000000	-1.000000
-19.009901	-15.445545	0.000000	-1.000000
-19.009901	-15.049505	0.000000	-1.000000
-19.009901	-14.653465	0.000000	-1.000000
-19.009901	-14.257426	0.000000	-1.000000
-19.009901	-13.861386	0.000000	-1.000000
-19.009901	-13.465347	0.000000	-1.000000
-19.009901	-13.069307	0.000000	-1.000000
-19.009901	-12.673267	0.000000	-1.000000
-19.009901	-12.277228	0.000000	-1.000000
-19.009901	-11.881188	0.000000	-1.000000
-19.009901	-11.485149	0.000000	-1.000000
-19.009901	-11.089109	0.000000	-1.000000
-19.009901	-10.693069	0.000000	-1.000000
-19.009901	-10.297030	0.000000	-1.000000
-19.009901	-9.900990	0.000000	-1.000000
-19.009901	-9.504950	0.000000	-1.000000
-19.009901	-9.108911	0.000000	-1.000000
-19.009901	-8.712871	0.000000	-1.000000
-19.009901	-8.316832	0.000000	-1.000000
-19.009901	-7.920792	0.000000	-1.000000
-19.009901	-7.524752	0.001450	-0.998550
-19.009901	-7.128713	0.011960	-0.988040
-19.009901	-6.732673	0.027908	-0.972092
-19.009901	-6.336634	0.040593	-0.959407
-19.009901	-5.940594	0.046029	-0.953971
-19.009901	-5.544554	0.030082	-0.969918
-19.009901	-5.148515	0.031170	-0.968830
-19.009901	-4.752475	0.036244	-0.963756
-19.009901	-4.356436	0.035519	-0.964481
-19.009901	-3.960396	0.039868	-0.960132
-19.009901	-3.564356	0.035519	-0.964481
-19.009901	-3.168317	0.035156	-0.964844
-19.009901	-2.772277	0.042043	-0.957957
-19.009901	-2.376238	0.037693	-0.962307
-19.009901	-1.980198	0.041680	-0.958320
-19.009901	-1.584158	0.035519	-0.964481
-19.009901	-1.188119	0.032982	-0.967018
-19.009901	-0.792079	0.034069	-0.965931
-19.009901	-0.396040	0.040593	-0.959407
-19.009901	0.000000	0.030082	-0.969918
-19.009901	0.396040	0.038418	-0.961582
-19.009901	0.792079	0.032257	-0.967743
-19.009901	1.188119	0.037331	-0.962669
-19.009901	1.584158	0.031532	-0.968468
-19.009901	1.980198	0.034794	-0.965206
-19.009901	2.376238	0.035881	-0.964119
-19.009901	2.772277	0.027908	-0.972092
-19.009901	3.168317	0.038056	-0.961944
-19.009901	3.564356	0.031894	-0.968106
-19.009901	3.960396	0.032619	-0.967381
-19.009901	4.356436	0.025371	-0.974629
-19.009901	4.752475	0.034794	-0.965206
-19.009901	5.148515	0.036969	-0.963031
-19.009901	5.544554	0.035519	-0.964481
-19.009901	5.940594	0.036969	-0.963031
-19.009901	6.336634	0.025008	-0.974992
-19.009901	6.732673	0.011960	-0.988040
-19.009901	7.128713	0.002537	-0.997463
-19.009901	7.524752	0.000000	-1.000000
-19.009901	7.920792	0.000000	-1.000000
-19.009901	8.316832	0.000000	-1.000000
-19.009901	8.712871	0.000000	-1.000000
-19.009901	9.108911	0.000000	-1.000000
-19.009901	9.504950	0.000000	-1.000000
-19.009901	9.900990	0.000000	-1.000000
-19.009901	10.297030	0.000000	-1.000000
-19.009901	10.693069	0.000000	-1.000000
-19.009901	11.089109	0.000000	-1.000000
-19.009901	11.485149	0.000000	-1.000000
-19.009901	11.881188	0.000000	-1.000000
-19.009901	12.277228	0.000000	-1.000000
-19.009901	12.673267	0.000000	-1.000000
-19.009901	13.069307	0.000000	-1.000000
-19.009901	13.465347	0.000000	-1.000000
-19.009901	13.861386	0.000000	-1.000000
-19.009901	14.257426	0.000000	-1.000000
-19.009901	14.653465	0.000000	-1.000000
-19.009901	15.049505	0.000000	-1.000000
-19.009901	15.445545	0.000000	-1.000000
-19.009901	15.841584	0.000000	-1.000000
-19.009901	16.237624	0.000000	-1.000000
-19.009901	16.633663	0.000000	-1.000000
-19.009901	17.029703	0.000000	-1.000000
-19.009901	17.425743	0.000000	-1.000000
-19.009901	17.821782	0.000000	-1.000000
-19.009901	18.217822	0.000000	-1.000000
-19.009901	18.613861	0.000000	-1.000000
