Temperature	Concentration	Condensed Fraction	Nearest Neighbors	Mean Density
10.000000	0.010000	0.988655	5.470000	5.742035
20.000000	0.010000	0.989355	5.470000	5.611179
30.000000	0.010000	0.986780	5.440000	5.451707
40.000000	0.010000	0.923365	5.080000	5.048331
50.000000	0.010000	0.759465	3.520000	3.856530
60.000000	0.010000	0.474140	2.180000	2.387652
70.000000	0.010000	0.201740	1.170000	1.355905
80.000000	0.010000	0.091680	0.900000	1.164306
90.000000	0.010000	0.068810	1.060000	1.102981
100.000000	0.010000	0.060200	0.850000	1.110510
